row_number,plant_number,date,truss_number,brix,diameter,fruit_number,weight,total_sap,total_sap_mean,week_before_sap,week_before_sap_mean,week_after_sap,week_after_sap_mean
189,607,2019-04-10 00:00:00,5,6.1,,8.0,323.0,47140.45899999999,703.5889402985073,7913.8989999999985,989.2373749999998,7089.2880000000005,886.1610000000001
195,301,2019-04-18 00:00:00,3,,,6.0,786.0,58968.279,765.8218051948053,9221.318,1152.66475,12615.017999999998,1576.8772499999998
197,303,2019-04-18 00:00:00,3,4.0,66.0,6.0,853.0,58968.279,765.8218051948053,9221.318,1152.66475,12615.017999999998,1576.8772499999998
198,304,2019-04-18 00:00:00,3,3.9,68.0,6.0,905.0,58968.279,765.8218051948053,9221.318,1152.66475,12615.017999999998,1576.8772499999998
200,306,2019-04-18 00:00:00,3,6.8,71.0,6.0,926.0,42970.986000000004,558.0647532467533,4957.101,619.637625,7090.332,886.2915
200,306,2019-04-18 00:00:00,4,,,6.0,655.0,42970.986000000004,558.0647532467533,4957.101,619.637625,7090.332,886.2915
201,307,2019-04-18 00:00:00,3,,,6.0,781.0,42970.986000000004,558.0647532467533,4957.101,619.637625,7090.332,886.2915
202,308,2019-04-18 00:00:00,3,5.4,63.0,6.0,687.0,42970.986000000004,558.0647532467533,4957.101,619.637625,7090.332,886.2915
203,309,2019-04-18 00:00:00,2,5.4,68.0,6.0,879.0,42970.986000000004,558.0647532467533,4957.101,619.637625,7090.332,886.2915
203,309,2019-04-18 00:00:00,3,,,6.0,618.0,42970.986000000004,558.0647532467533,4957.101,619.637625,7090.332,886.2915
204,310,2019-04-18 00:00:00,3,,,4.0,532.0,42970.986000000004,558.0647532467533,4957.101,619.637625,7090.332,886.2915
205,311,2019-04-18 00:00:00,3,,,6.0,905.0,42970.986000000004,558.0647532467533,4957.101,619.637625,7090.332,886.2915
206,400,2019-04-18 00:00:00,6,,,14.0,286.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
206,400,2019-04-18 00:00:00,7,,,14.0,212.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
207,401,2019-04-18 00:00:00,5,,,13.0,215.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
207,401,2019-04-18 00:00:00,6,,,13.0,242.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
207,401,2019-04-18 00:00:00,7,,,12.0,179.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
208,402,2019-04-18 00:00:00,6,10.2,,12.0,185.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
